resource_path;resource_name;color1;max_duplicates;tags;type;attributes;icon;custom_scene;prerequisites;color2;base_weight;is_notable;multiplier_per_tag;multiplier_if_tag_present;multiplier_if_tag_not_present;max_tags_present;list_item_delimeter;list_row_delimeter;weapon_damage;weapon_cooldown;weapon_dps
res://example/Random Upgrades/upgrades/elemental.tres;Upgrade: Elemental Damage;ffffffff;9;"[""elemental""]";Passive;[1];res://example/Random Upgrades/icons/all_icons/all_icons_6.tres;;[];f64c4cff;10;No;;;elemental 0;; ;"
";;;
res://example/Random Upgrades/upgrades/health.tres;Upgrade: Health;ffffffff;9;"[""health"", ""melee""]";Passive;[2];res://example/Random Upgrades/icons/all_icons/all_icons_1.tres;;[];21ff3eff;10;No;strength 1.5 melee 2.0;;;; ;"
";;;
res://example/Random Upgrades/upgrades/mastery_magic.tres;Mastery: Magic;ffd829ff;9;"[""magic"", ""mastery""]";Mastery;[1, 1, 4, 128];res://example/Random Upgrades/icons/all_icons/all_icons_5.tres;;[<Resource#-9223370228270825912>, <Resource#-9223370228052722102>, <Resource#-9223370227834618292>, <Resource#-9223370229562671554>];6831d3ff;1;Yes;magic 1.2;;magic 0;; ;"
";;;
res://example/Random Upgrades/upgrades/mastery_strength.tres;Mastery: Strength;ffd829ff;9;"[""strength"", ""mastery""]";Mastery;[0, 0, 4, 128];res://example/Random Upgrades/icons/all_icons/all_icons_2.tres;;[<Resource#-9223370227096420787>, <Resource#-9223370226878316976>, <Resource#-9223370226660213166>, <Resource#-9223370226509218223>];fdf033ff;1;Yes;strength 1.2;;strength 0;; ;"
";;;
res://example/Random Upgrades/upgrades/up_aoe.tres;Upgrade: Area of Effect;ffffffff;4;"[""aoe""]";Passive;[3];res://example/Random Upgrades/icons/all_icons/all_icons_6.tres;;[<Resource#-9223370229562671554>];f64c4cff;10;No;;;aoe 0;; ;"
";;;
res://example/Random Upgrades/upgrades/up_magic.tres;Upgrade: Magic;ffffffff;9;"[""magic""]";Passive;[1];res://example/Random Upgrades/icons/all_icons/all_icons_5.tres;;[];3073e6ff;10;No;;;magic 0;; ;"
";;;
res://example/Random Upgrades/upgrades/up_movement_speed.tres;Upgrade: Strength;ffffffff;9;"[""strength""]";Passive;[0];res://example/Random Upgrades/icons/all_icons/all_icons_2.tres;;[<Resource#-9223370226509218223>];fa9534ff;10;No;;;strength 0;; ;"
";;;
res://example/Random Upgrades/upgrades/up_strength.tres;Upgrade: Strength;ffffffff;9;"[""strength""]";Passive;[0];res://example/Random Upgrades/icons/all_icons/all_icons_2.tres;;[];fa9534ff;10;No;;;strength 0;; ;"
";;;
res://example/Random Upgrades/upgrades/weapons/weapon_axe.tres;Weapon: Axe;a2c2ffff;1;"[""strength"", ""melee"", ""weapon""]";Weapon;[0, 2];res://example/Random Upgrades/icons/all_icons/all_icons_3.tres;;[];fa9534ff;10;No;strength 2.0;;;weapon 4; ;"
";4;6;0.66666666666667
res://example/Random Upgrades/upgrades/weapons/weapon_blizzard.tres;Weapon: Blizzard;a2c2ffff;1;"[""weapon"", ""magic"", ""elemental""]";Weapon;[1, 2];res://example/Random Upgrades/icons/all_icons/all_icons_4.tres;;[];3073e6ff;10;No;magic 2.0;;;weapon 4; ;"
";4;6;0.66666666666667
res://example/Random Upgrades/upgrades/weapons/weapon_chaos_blast.tres;Weapon: Chaos Blast;a2c2ffff;1;"[""weapon"", ""magic"", ""projectile"", ""legendary""]";Weapon;[1, 1, 1, 3];res://example/Random Upgrades/icons/all_icons/all_icons_4.tres;res://example/Random Upgrades/new scene.tscn;[];6831d3ff;1;Yes;magic 2.0;;;weapon 4; ;"
";12;8;1.5
res://example/Random Upgrades/upgrades/weapons/weapon_dagger.tres;Weapon: Daggers;a2c2ffff;1;"[""weapon"", ""strength"", ""projectile""]";Weapon;[0, 3];res://example/Random Upgrades/icons/all_icons/all_icons_3.tres;;[];fa9534ff;10;No;strength 2.0;;;weapon 4; ;"
";4;6;0.66666666666667
res://example/Random Upgrades/upgrades/weapons/weapon_fireball.tres;Weapon: Fireball;a2c2ffff;1;"[""weapon"", ""magic"", ""projectile"", ""elemental""]";Weapon;[1, 2];res://example/Random Upgrades/icons/all_icons/all_icons_4.tres;;[];3073e6ff;10;No;magic 2.0;;;weapon 4; ;"
";4;6;0.66666666666667
res://example/Random Upgrades/upgrades/weapons/weapon_giga_sword.tres;Weapon: Giga Sword;a2c2ffff;1;"[""weapon"", ""strength"", ""melee"", ""legendary""]";Weapon;[0, 0, 0, 2];res://example/Random Upgrades/icons/all_icons/all_icons_3.tres;res://example/Random Upgrades/new scene.tscn;[];fdf033ff;1;Yes;strength 2.0;;;weapon 4; ;"
";12;8;1.5
res://example/Random Upgrades/upgrades/weapons/weapon_lightning.tres;Weapon: Lightning;a2c2ffff;1;"[""weapon"", ""magic"", ""elemental""]";Weapon;[1, 3];res://example/Random Upgrades/icons/all_icons/all_icons_4.tres;;[];3073e6ff;10;No;magic 2.0;;;weapon 4; ;"
";4;6;0.66666666666667
res://example/Random Upgrades/upgrades/weapons/weapon_spear.tres;Weapon: Spear;a2c2ffff;1;"[""weapon"", ""strength"", ""melee""]";Weapon;[0, 3];res://example/Random Upgrades/icons/all_icons/all_icons_3.tres;;[];fa9534ff;10;No;strength 2.0;;;weapon 4; ;"
";4;6;0.66666666666667
